sample,replicate,particlesize,,
faeces,a,50,,# particlesize units are µm
faeces,a,50,,
faeces,a,50,,
faeces,a,55,,
faeces,a,55,,
faeces,a,60,,
faeces,a,60,,
faeces,a,65,,
faeces,a,65,,
faeces,a,70,,
faeces,a,70,,
faeces,a,70,,
faeces,a,70,,
faeces,a,75,,
faeces,a,75,,
faeces,a,75,,
faeces,a,75,,
faeces,a,80,,
faeces,a,80,,
faeces,a,85,,
faeces,a,85,,
faeces,a,85,,
faeces,a,90,,
faeces,a,90,,
faeces,a,90,,
faeces,a,90,,
faeces,a,90,,
faeces,a,90,,
faeces,a,95,,
faeces,a,95,,
faeces,a,95,,
faeces,a,95,,
faeces,a,100,,
faeces,a,100,,
faeces,a,100,,
faeces,a,100,,
faeces,a,100,,
faeces,a,100,,
faeces,a,100,,
faeces,a,105,,
faeces,a,110,,
faeces,a,110,,
faeces,a,115,,
faeces,a,120,,
faeces,a,120,,
faeces,a,120,,
faeces,a,120,,
faeces,a,120,,
faeces,a,130,,
faeces,a,130,,
faeces,a,140,,
faeces,a,140,,
faeces,a,140,,
faeces,a,140,,
faeces,b,50,,
faeces,b,50,,
faeces,b,50,,
faeces,b,50,,
faeces,b,50,,
faeces,b,50,,
faeces,b,60,,
faeces,b,60,,
faeces,b,65,,
faeces,b,65,,
faeces,b,65,,
faeces,b,65,,
faeces,b,65,,
faeces,b,65,,
faeces,b,65,,
faeces,b,65,,
faeces,b,70,,
faeces,b,70,,
faeces,b,70,,
faeces,b,70,,
faeces,b,70,,
faeces,b,70,,
faeces,b,70,,
faeces,b,70,,
faeces,b,80,,
faeces,b,90,,
faeces,b,95,,
faeces,b,95,,
faeces,b,95,,
faeces,b,95,,
faeces,b,95,,
faeces,b,95,,
faeces,b,100,,
faeces,b,100,,
faeces,b,100,,
faeces,b,100,,
faeces,b,100,,
faeces,b,100,,
faeces,b,100,,
faeces,b,100,,
faeces,b,100,,
faeces,b,100,,
faeces,b,100,,
faeces,b,105,,
faeces,b,105,,
faeces,b,105,,
faeces,b,105,,
faeces,b,105,,
faeces,b,110,,
faeces,b,110,,
faeces,b,110,,
faeces,b,115,,
faeces,b,115,,
faeces,b,115,,
faeces,b,120,,
faeces,b,130,,
faeces,c,70,,
faeces,c,75,,
faeces,c,75,,
faeces,c,75,,
faeces,c,80,,
faeces,c,80,,
faeces,c,80,,
faeces,c,85,,
faeces,c,85,,
faeces,c,85,,
faeces,c,85,,
faeces,c,95,,
faeces,c,95,,
faeces,c,95,,
faeces,c,95,,
faeces,c,95,,
faeces,c,95,,
faeces,c,95,,
faeces,c,95,,
faeces,c,95,,
faeces,c,95,,
faeces,c,100,,
faeces,c,100,,
faeces,c,100,,
faeces,c,100,,
faeces,c,100,,
faeces,c,105,,
faeces,c,105,,
faeces,c,105,,
faeces,c,105,,
faeces,c,105,,
faeces,c,110,,
faeces,c,110,,
faeces,c,110,,
faeces,c,110,,
faeces,c,115,,
faeces,c,115,,
faeces,c,115,,
faeces,c,115,,
faeces,c,115,,
faeces,c,130,,
faeces,c,140,,
faeces,d,95,,
faeces,d,95,,
faeces,d,110,,
faeces,d,115,,
faeces,d,120,,
faeces,d,120,,
faeces,d,120,,
faeces,d,120,,
faeces,e,50,,
faeces,e,80,,
faeces,e,85,,
faeces,e,85,,
faeces,e,85,,
faeces,e,95,,
faeces,e,95,,
faeces,e,95,,
faeces,e,100,,
faeces,e,100,,
faeces,e,100,,
faeces,e,105,,
faeces,e,110,,
faeces,e,110,,
faeces,e,120,,
faeces,e,120,,
faeces,e,120,,
faeces,e,130,,
faeces,e,140,,
faeces,f,65,,
faeces,f,70,,
faeces,f,70,,
faeces,f,75,,
faeces,f,85,,
faeces,f,90,,
faeces,f,90,,
faeces,f,95,,
faeces,f,95,,
faeces,f,100,,
faeces,f,105,,
faeces,f,110,,
faeces,f,120,,
faeces,f,125,,
faeces,f,125,,
faeces,f,130,,
faeces,f,130,,
faeces,f,140,,
faeces,f,140,,
faeces,f,140,,
